id,year,country,city,category,firstname,surname,gender
89,1967,USA,"Ithaca, NY",physics,Hans Albrecht,Bethe,male
90,1968,USA,"Berkeley, CA",physics,Luis Walter,Alvarez,male
91,1969,USA,"Pasadena, CA",physics,Murray,Gell-Mann,male
92,1970,SWE,Stockholm,physics,Hannes Olof Gösta,Alfvén,male
93,1970,FRA,Grenoble,physics,Louis Eugène Félix,Néel,male
94,1971,GBR,London,physics,Dennis,Gabor,male
95,1972,USA,"Providence, RI",physics,Leon Neil,Cooper,male
96,1972,USA,"Philadelphia, PA",physics,John Robert,Schrieffer,male
97,1973,USA,"Yorktown Heights, NY",physics,Leo,Esaki,male
98,1973,USA,"Schenectady, NY",physics,Ivar,Giaever,male
99,1973,GBR,Cambridge,physics,Brian David,Josephson,male
100,1974,GBR,Cambridge,physics,Sir Martin,Ryle,male
101,1974,GBR,Cambridge,physics,Antony,Hewish,male
102,1975,DNK,Copenhagen,physics,Aage Niels,Bohr,male
103,1975,DNK,Copenhagen,physics,Ben Roy,Mottelson,male
104,1975,USA,"New York, NY",physics,Leo James,Rainwater,male
105,1976,USA,"Stanford, CA",physics,Burton,Richter,male
106,1976,USA,"Cambridge, MA",physics,Samuel Chao Chung,Ting,male
107,1977,USA,"Murray Hill, NJ",physics,Philip Warren,Anderson,male
108,1977,GBR,Cambridge,physics,Sir Nevill Francis,Mott,male
109,1977,USA,"Cambridge, MA",physics,John Hasbrouck,van Vleck,male
110,1978,,Moscow,physics,Pyotr Leonidovich,Kapitsa,male
111,1978,USA,"Holmdel, NJ",physics,Arno Allan,Penzias,male
112,1978,USA,"Holmdel, NJ",physics,Robert Woodrow,Wilson,male
113,1979,USA,"Cambridge, MA",physics,Sheldon Lee,Glashow,male
114,1979,ITA,Trieste,physics,Abdus,Salam,male
115,1979,USA,"Cambridge, MA",physics,Steven,Weinberg,male
116,1980,USA,"Chicago, IL",physics,James Watson,Cronin,male
117,1980,USA,"Princeton, NJ",physics,Val Logsdon,Fitch,male
118,1981,USA,"Cambridge, MA",physics,Nicolaas,Bloembergen,male
119,1981,USA,"Stanford, CA",physics,Arthur Leonard,Schawlow,male
120,1981,SWE,Uppsala,physics,Kai M.,Siegbahn,male
121,1982,USA,"Ithaca, NY",physics,Kenneth G.,Wilson,male
122,1983,USA,"Chicago, IL",physics,Subramanyan,Chandrasekhar,male
123,1983,USA,"Pasadena, CA",physics,William Alfred,Fowler,male
124,1984,CHE,Geneva,physics,Carlo,Rubbia,male
125,1984,CHE,Geneva,physics,Simon,van der Meer,male
126,1985,,Stuttgart,physics,Klaus,von Klitzing,male
127,1986,,Berlin,physics,Ernst,Ruska,male
128,1986,CHE,Rüschlikon,physics,Gerd,Binnig,male
129,1986,CHE,Rüschlikon,physics,Heinrich,Rohrer,male
130,1987,CHE,Rüschlikon,physics,J. Georg,Bednorz,male
131,1987,CHE,Rüschlikon,physics,K. Alexander,Müller,male
132,1988,USA,"Batavia, IL",physics,Leon M.,Lederman,male
133,1988,USA,"Mountain View, CA",physics,Melvin,Schwartz,male
134,1988,CHE,Geneva,physics,Jack,Steinberger,male
135,1989,USA,"Cambridge, MA",physics,Norman F.,Ramsey,male
136,1989,USA,"Seattle, WA",physics,Hans G.,Dehmelt,male
137,1989,,Bonn,physics,Wolfgang,Paul,male
138,1990,USA,"Cambridge, MA",physics,Jerome I.,Friedman,male
139,1990,USA,"Cambridge, MA",physics,Henry W.,Kendall,male
140,1990,USA,"Stanford, CA",physics,Richard E.,Taylor,male
141,1991,FRA,Paris,physics,Pierre-Gilles,de Gennes,male
142,1992,FRA,Paris,physics,Georges,Charpak,male
143,1993,USA,"Princeton, NJ",physics,Russell A.,Hulse,male
144,1993,USA,"Princeton, NJ",physics,Joseph H.,Taylor Jr.,male
145,1994,CAN,"Hamilton, Ontario",physics,Bertram N.,Brockhouse,male
146,1994,USA,"Cambridge, MA",physics,Clifford G.,Shull,male
147,1995,USA,"Stanford, CA",physics,Martin L.,Perl,male
148,1995,USA,"Irvine, CA",physics,Frederick,Reines,male
149,1996,USA,"Ithaca, NY",physics,David M.,Lee,male
150,1996,USA,"Stanford, CA",physics,Douglas D.,Osheroff,male
151,1996,USA,"Ithaca, NY",physics,Robert C.,Richardson,male
152,1997,USA,"Stanford, CA",physics,Steven,Chu,male
153,1997,FRA,Paris,physics,Claude,Cohen-Tannoudji,male
154,1997,USA,"Gaithersburg, MD",physics,William D.,Phillips,male
155,1998,USA,"Stanford, CA",physics,Robert B.,Laughlin,male
156,1998,USA,"New York, NY",physics,Horst L.,Störmer,male
157,1998,USA,"Princeton, NJ",physics,Daniel C.,Tsui,male
158,1999,,Utrecht,physics,Gerardus,'t Hooft,male
159,1999,,Bilthoven,physics,Martinus J.G.,Veltman,male
160,1901,DEU,Berlin,chemistry,Jacobus Henricus,van 't Hoff,male
161,1902,DEU,Berlin,chemistry,Hermann Emil,Fischer,male
162,1903,SWE,Stockholm,chemistry,Svante August,Arrhenius,male
163,1904,GBR,London,chemistry,Sir William,Ramsay,male
164,1905,DEU,Munich,chemistry,Johann Friedrich Wilhelm Adolf,von Baeyer,male
165,1906,FRA,Paris,chemistry,Henri,Moissan,male
166,1907,DEU,Berlin,chemistry,Eduard,Buchner,male
167,1908,GBR,Manchester,chemistry,Ernest,Rutherford,male
168,1909,DEU,Leipzig,chemistry,Wilhelm,Ostwald,male
169,1910,DEU,Göttingen,chemistry,Otto,Wallach,male
170,1912,FRA,Nancy,chemistry,Victor,Grignard,male
